epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1
1,0.0815254862345755,0.16053897865116595,0.8594629192352294,0.7777698665857316,0.9207153010368347,0.8518300640583039,0.9880682957172394,0.4104670166969299
2,0.07908968344796449,0.1662467534840107,0.8560944694280624,0.7743310928344727,0.9202673816680909,0.8486739516258239,0.9892634677886963,0.40513640113174915
3,0.07637605907768011,0.1751180672645569,0.8536394989490509,0.7709731096029282,0.9367649710178375,0.8285825967788696,0.9912727582454681,0.40632558964192866
4,0.07423074444383383,0.15590703010559082,0.8623597663640976,0.7816987425088883,0.9125091361999512,0.8639025330543518,0.9828879535198212,0.40350240021944045
5,0.07223389262333513,0.1584211129322648,0.8622036439180374,0.7823614299297332,0.9336958003044128,0.8437568247318268,0.986248334646225,0.42351905718445776
6,0.070782027493231,0.1667928783595562,0.860967003107071,0.7803688538074494,0.9244227492809296,0.8504847365617753,0.9877074348926544,0.41263705000281337
7,0.07001160027552396,0.1631200997531414,0.8612857568264007,0.7798273915052414,0.9278997170925141,0.846398195028305,0.9881155419349671,0.41449762165546417
8,0.06747371162381023,0.16840633936226368,0.8589178669452667,0.777782438993454,0.9375893878936767,0.835256101489067,0.9901063799858093,0.4188483355939388
9,0.06740342939831316,0.1678217213228345,0.8607043826580048,0.7801203417778015,0.9380648267269135,0.8371300113201141,0.9891279959678649,0.42208498865365984
10,0.06700454755499959,0.167954628393054,0.8622030436992645,0.7820320546627044,0.9315194451808929,0.8453148782253266,0.9881300091743469,0.4238325670361519
