epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.5513353949785232,0.5679886011700881,0.5684844867179268,0.4432869255542755,0.4710129656289753,0.9548224022513941
2,0.4577624008655548,0.49923234864285115,0.6542350006730933,0.5295372181817105,0.5598772670093336,0.9467970854357669
3,0.4085835084915161,0.4418367021962216,0.7053091682885823,0.5853760822823173,0.6341991471616846,0.9369580149650574
4,0.36625391674041746,0.40166228382210983,0.786687151381844,0.6893378621653506,0.8005260636931971,0.8713006722299677
5,0.3282620308995247,0.37664304752098887,0.7851184135989139,0.6804934661639365,0.76341481271543,0.9052943430448833
6,0.297689336836338,0.3258880282703199,0.8009555904488814,0.7078651911333987,0.7874130010604858,0.9003205958165621
7,0.26925079929828644,0.31807990450608103,0.7816468539990877,0.6768621770959151,0.7580608066759611,0.9109638207837155
8,0.24364969354867935,0.2787811003233257,0.8131457128022846,0.7184878807318839,0.8303868080440321,0.8738569491787961
9,0.22186567041277885,0.2567472261817832,0.8195245956119738,0.7263673010625338,0.852203441293616,0.8624094536429957
10,0.20527022710442544,0.26147364001525075,0.8158911843048898,0.7256424427032471,0.8711090840791401,0.8438211334379095
11,0.1909070955514908,0.22897604029429586,0.820371549380453,0.7299005012763174,0.8729762121250755,0.8420392933644747
12,0.1779381393790245,0.2226320528670361,0.8162602531282526,0.7233389427787379,0.8730980220593905,0.836733761586641
13,0.16971540024876594,0.2318970827679885,0.8051642712793852,0.705247373957383,0.7899044469783181,0.9037984829199942
14,0.16320340529084207,0.2301018912541239,0.817624054457012,0.7273102183091013,0.8825674496198955,0.833262584711376
15,0.15791075792908668,0.2249448201374004,0.8216319774326525,0.7300528852563155,0.9014685593153301,0.8159810900688171
16,0.14870064228773117,0.21217723896628932,0.8187598021406877,0.7280708174956473,0.9031297595877397,0.8136198489289534
17,0.14822658345103265,0.21052178818928569,0.8260748323641325,0.7336852519135726,0.8624691837712338,0.8609879236472281
18,0.1402995211184025,0.19164092328987622,0.8321832512554369,0.7401577485235113,0.8601273361005282,0.8702062117426019
19,0.13728269425034523,0.20718162820527428,0.8273301563764873,0.7377348385359112,0.8917978562806782,0.8379715116400468
20,0.13777769005298615,0.18937750709684273,0.8323177914870413,0.7411017512020311,0.8439750577274122,0.8876058992586637
21,0.13350632524490355,0.2017722051394613,0.8221976913903889,0.7271698430964821,0.9154684261271828,0.8021581831731295
22,0.13106023147702217,0.1980242486062803,0.8249716664615431,0.7350635999127438,0.8821398396241037,0.8450150238840204
23,0.13036900882422925,0.20888739628227135,0.8308293129268446,0.7396343224926999,0.9137420968005532,0.817112314073663
24,0.12794899344444274,0.195124326175765,0.8310450440958926,0.7363342360446328,0.8527511452373705,0.8742008334711978
25,0.11835681591928006,0.1999150942030706,0.8304000716460379,0.7373118369202865,0.909262340319784,0.8175265192985535
26,0.11748309661448002,0.1832547230940116,0.8372735663464195,0.7477995910142597,0.8985917442723325,0.8386395573616028
27,0.11477133865654468,0.18622112352597087,0.8392092711047122,0.7498517695226168,0.904178333909888,0.8369194708372417
28,0.11445795701444149,0.19655450707987734,0.8348420105482403,0.7420131250431663,0.8847864332951998,0.8477264611344588
29,0.11386353789269923,0.2015706853646981,0.8371161128345289,0.7480255334000838,0.9053964144305179,0.8340519133367037
30,0.11380315786600113,0.20823781976574346,0.8292345373254073,0.7382048870387831,0.9086535071071825,0.8201016156296981
