epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1
1,0.31371232503652574,0.25106546739737196,0.8222178920110067,0.7316890827814738,0.8802068535486857,0.8384860340754191,0.9843464573224385,0.42857202370961506
2,0.17543213298916815,0.20344103535016378,0.8304882375399272,0.7412620830535889,0.8720150931676229,0.8529689256350199,0.9624279634157816,0.44655701518058777
3,0.1412644623219967,0.18542805353800457,0.8340747841199239,0.7422108936309815,0.883051897684733,0.8475290942192077,0.9736514600118001,0.4396896497408549
4,0.11850200606882572,0.19449013352394104,0.8201533937454224,0.7278919045130412,0.9335509252548218,0.7862539911270141,0.980242129166921,0.42320714871088666
5,0.11088249945640564,0.17182617425918578,0.8415907708803813,0.7579598395029704,0.8993335882822673,0.8514985497792562,0.9733013860384623,0.4675842277208964
6,0.10343579968810082,0.17279100398222605,0.8462214668591818,0.7620132478078206,0.9176416683197022,0.8378780245780945,0.9800703183809916,0.4751655133565267
7,0.09315805457532406,0.17014747500419616,0.8554579011599223,0.7694448041915893,0.9145047767957052,0.8458807317415873,0.9765177583694458,0.4698459057013194
8,0.09086839470267295,0.18769678831100464,0.8402006379763285,0.7483305088678995,0.9414678112665812,0.7991211136182149,0.9880607867240906,0.4395703176657359
9,0.08519364912807942,0.16208114882310232,0.8460984778404236,0.7613394753138224,0.8883864855766297,0.8581600228945414,0.9563311211268107,0.469588934580485
10,0.08245465716719627,0.17660235504309335,0.8440681211153667,0.7560822645823161,0.9171391654014588,0.83140487353007,0.9769585990905761,0.45066442489624026
11,0.0773230705410242,0.18252769748369851,0.851914091904958,0.7682375748952229,0.9236361702283223,0.8382409969965617,0.9838798022270203,0.47664466897646585
12,0.07418338556587696,0.16993995090325673,0.8558878389994303,0.7728666385014852,0.9210629185040792,0.8456161785125732,0.9806791194279989,0.4799091347058614
13,0.0722486804574728,0.17668895423412323,0.8433165009816488,0.7582233182589213,0.8975502443313599,0.8510499548912048,0.9553394293785096,0.4640395228068034
14,0.06926827049255371,0.1781727135181427,0.8515442927678426,0.7679762458801269,0.9176157363255819,0.8448408047358195,0.9803885873158773,0.47484315633773805
15,0.06701380445063114,0.16308300097783407,0.8579850618044536,0.7752936744689941,0.9132772890726725,0.8565063865979513,0.9779178571701049,0.47858421087265013
16,0.06447571960091592,0.1777158260345459,0.8554029186566671,0.7725972024599711,0.9244268862406413,0.8431079880396525,0.9818861929575602,0.47879353880882264
17,0.06302477222681045,0.17773857851823172,0.8579686641693115,0.7766888014475505,0.9147041742006937,0.8571635055541992,0.9793563461303711,0.48791261911392214
18,0.061524866446852684,0.18338580211003622,0.8549367499351501,0.7727078517278035,0.9194662197430928,0.848200589021047,0.9805650615692139,0.48118586858113604
19,0.06153395638614893,0.18263143161932627,0.8551377693812052,0.7729040050506591,0.9152810708681742,0.8525468746821085,0.9773566865921021,0.4778951108455658
20,0.06200373764336109,0.1858712108929952,0.8549378760655721,0.77286811987559,0.9226940838495891,0.8451884539922079,0.9816315253575643,0.4848823769887288
