epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1,val_composite,gradient_norm
1,1.0530829871188034,1.3587653174996377,0.262159320525825,0.1696098036598414,0.17004933297866956,0.9952173970639706,0.07754558445885777,0.018402856362808962,0.201220204485071,1.5855251469729859
2,0.8613972591108074,1.07701825350523,0.3196036516688764,0.21819881463889032,0.22269054437056185,0.9692495822906494,0.3662636913359165,0.036976022165617906,0.24894674429306177,0.9412929320041045
3,0.6496757177170607,0.941391871124506,0.33738466529175637,0.2330354087986052,0.2522256480529904,0.8852664902806282,0.4912672325968742,0.05862207922618836,0.26769401877536436,0.881686042856287
4,0.5184664287162579,0.8899927929043769,0.33710457575507463,0.2321312909014523,0.26200674509163946,0.8187233041971922,0.5591907225549221,0.0676035247510299,0.26972931300406344,0.9215950298088568
5,0.4642644471845908,0.8772956319153309,0.3256712162401527,0.2251552423927933,0.24907407083082944,0.8465642590075731,0.5054674044251442,0.06738614150090143,0.2610999475553399,0.9342386599308179
6,0.4178236393008402,0.8481100104749203,0.379992479365319,0.2728457854129374,0.30312979416921737,0.883445194363594,0.6006231933832169,0.0659643761049665,0.3014854535502308,nan
7,0.38049251804744033,0.7934717983007431,0.5701493034139276,0.45636908113956454,0.5172457894310355,0.8857161708176136,0.8144818872213364,0.12968313497840428,0.4600327613050467,0.9400338346575513
8,0.3599247935055083,0.728550473973155,0.7082580827176571,0.6039177425205707,0.6993346177041531,0.8684795930981636,0.916518010944128,0.255242200801149,0.5950041122385301,1.0669400958735267
9,0.34600798813438266,0.6638624250888825,0.7777047611773014,0.6796197321265935,0.7926914632320404,0.86222775131464,0.9595044165849685,0.3401741575449705,0.6683221102692186,1.0246406738404874
10,0.3263318854419296,0.6031314224004746,0.8248348407447338,0.7329399555921554,0.8515708215534687,0.8644379712641239,0.9769879743456841,0.3967491939663887,0.7178134290501474,0.9613250823300562
11,0.3244024994795148,0.5513593845069409,0.8527513220906258,0.7675096146762371,0.8855047598481178,0.8694920293986798,0.9844822846353054,0.439397937245667,0.749412975879386,0.9832960836313389
12,0.32506949862728324,0.5085088182240725,0.8705791980028152,0.7902771547436714,0.9055357605218888,0.8752482041716576,0.9877787947654724,0.47202987857162954,0.7709418681450189,0.9888114601741602
