epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1
1,0.3782202306985855,0.2825802727540334,0.826180776755015,0.7320926133791605,0.8532537905375163,0.8594323126475016,0.9820774094263712,0.36046825687090556
2,0.20785204046964645,0.19704433043797812,0.8480548612276713,0.7598507730166117,0.894616474310557,0.8570161509513855,0.9845587412516276,0.4452879476547241
3,0.1543686234354973,0.18748760918776194,0.8440762813886007,0.7586568021774291,0.8969070545832316,0.8518094770113627,0.9804076337814331,0.45424800316492714
4,0.12320232485234738,0.17679210007190704,0.8455277140935262,0.7616212662061056,0.9342743110656738,0.8204135354359945,0.9878538465499878,0.47405603567759197
5,0.10828123441338539,0.15221510628859203,0.8612326955795289,0.7771705889701843,0.9326896007855733,0.8373056856791178,0.9848607770601908,0.4820847245057424
6,0.09936069928109646,0.13580672442913055,0.873876531124115,0.7941491993268331,0.8986838507652283,0.8873838885625204,0.9738120333353678,0.5021857662995657
7,0.09160980382561684,0.1639203731218974,0.8579320446650187,0.7754544035593669,0.9209636227289836,0.845063656171163,0.9823426063855489,0.49543549577395124
8,0.08546209663152694,0.17193110704421996,0.854118890762329,0.7692995230356853,0.9565270773569743,0.8077929846445719,0.9914875419934591,0.4780120599269867
9,0.0811624939739704,0.1644098848104477,0.8620971838633219,0.7805335569381714,0.9368236700693766,0.8375125710169474,0.9843768310546875,0.5030135953426361
10,0.07984834733605385,0.16509600440661112,0.8615119647979737,0.7792918078104655,0.9394479672114054,0.8346933301289876,0.9829697235425313,0.494112415711085
11,0.07541609428822994,0.15831532299518586,0.8666060129801433,0.785388114452362,0.9313865160942078,0.8488166244824727,0.9876857821146647,0.5101923676331838
