epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1,val_composite,gradient_norm
1,0.7115301943417355,0.8565089707573255,0.4341044034808874,0.30986934900283813,0.3573132775723934,0.8206258942683538,0.7456935529907545,0.07031963517268498,0.3431582114038368,inf
2,0.4666902481800401,0.7980624030033747,0.7732181039949259,0.6676165870080392,0.8421307782332103,0.7894911584754785,0.9737406149506569,0.28449769827226795,0.6510380025642614,inf
3,0.3608504368644641,0.706012624502182,0.8306437571843465,0.7401121884584427,0.9321363657712937,0.7945644289255143,0.9897616023818652,0.3763210060074925,0.717063069390133,4.354266991053731
4,0.31320617233479636,0.5851981627444426,0.8591370324293772,0.7772356577217578,0.9520049507419268,0.8181912089387576,0.992316493888696,0.4402482990175486,0.7544148490764201,inf
5,0.2975800927599292,0.4861972620089849,0.8850854620337486,0.811253783851862,0.9463397547602653,0.85660120844841,0.9912698616584142,0.5005840126425027,0.7889600996859372,3.161482087590478
6,0.28615356573957396,0.4084188165764014,0.8986929044127464,0.830734579761823,0.9426086490352948,0.8799814318617185,0.9899650384982427,0.539329178010424,0.8088519728121658,2.9903440005030513
7,0.27243727724661926,0.35343563072383405,0.9061924209197362,0.8419205653170745,0.9373469506700833,0.8950164775053661,0.9889624511202176,0.5656029226879279,0.8210450463617841,2.8680280368190165
8,0.2644148125928483,0.3194042153656483,0.9101062392195066,0.8479502548774084,0.9370046650369962,0.9027939399083456,0.9883151749769846,0.5813001580536366,0.8279047189280391,2.6721438504447623
9,0.2583934234573751,0.3003758642822504,0.9123523275057475,0.8515224610765775,0.9374436418215434,0.906434861322244,0.9880838091174762,0.5909557765970628,0.8320031897785763,2.5875448707706674
10,0.2456207740387026,0.2900358865658442,0.9140342146158218,0.8540445993343989,0.936023489634196,0.9105239594976108,0.9875934064388275,0.5973991873363654,0.8348754577959576,2.4968218461048504
11,0.24852498870899933,0.2850530244410038,0.9149004479249319,0.8552529767155648,0.9354938795169194,0.9123586033781369,0.9871737336119016,0.6009123548865318,0.8364034246653318,2.6396980719132856
12,0.24679750275007506,0.28230408281087876,0.915553517639637,0.8561356157064438,0.9347113033135732,0.9141045247515043,0.9869106834133466,0.602807234103481,0.837366946755598,2.575056250676636
