epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1
1,0.3738505630493164,0.2884230864048004,0.8235212906201681,0.7310713052749633,0.8559640765190124,0.8615729935963948,0.9805098573366801,0.3727611982822418
2,0.20776663160324096,0.20110666910807293,0.8491966724395752,0.7618583774566651,0.8923743756612142,0.8584756835301717,0.9841017325719198,0.4491750431060791
3,0.15374099412560463,0.1662925140062968,0.8611500207583109,0.7752477971712748,0.8782014195124308,0.886342290242513,0.9726466910044352,0.4563851551214854
4,0.11840026932954788,0.17881293376286825,0.8449033999443054,0.7598529005050659,0.9212282705307007,0.828327792485555,0.9823595213890076,0.4665945132573446
5,0.10705366125702857,0.1538035202026367,0.8613903379440307,0.7785128259658813,0.9039723873138428,0.8647316781679789,0.9772034684816996,0.4797274335225423
6,0.09576668910682201,0.1390426629781723,0.8702004599571228,0.7905119228363037,0.8852665050824483,0.8962048689524332,0.9679868125915527,0.500648455619812
7,0.08675693765282631,0.17334364493687948,0.8523755121231079,0.7700072288513183,0.922380960782369,0.8379493530591329,0.9832920900980632,0.49274946133295694
8,0.0828823220729828,0.15860758145650228,0.8620042745272318,0.7801485013961792,0.9398548618952434,0.8323628115653992,0.9877994171778361,0.49710767904917397
9,0.0784129486232996,0.16198492169380188,0.862333820660909,0.7822875920931498,0.935220582485199,0.841335817972819,0.979045901298523,0.502457445859909
10,0.07482569220662116,0.15131603936354318,0.8653623485565185,0.7858707563082377,0.9290916728973388,0.8508874360720317,0.9791139006614685,0.5063752969106038
11,0.07062478476762772,0.16048801819483438,0.86664004723231,0.7862840986251831,0.9191687361399332,0.8609966119130452,0.9849047088623046,0.5134780172506969
