epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1,val_composite,gradient_norm
1,0.9180812067894262,1.4354135811328887,0.2540402204263955,0.1625313418218866,0.1656369315343909,0.9451578952372074,0.09710416309535504,0.04835069588152692,0.20261783929017838,1.6583545796665145
2,0.65206326043982,1.062232254445553,0.2565889872610569,0.16368557217065244,0.17114448505453767,0.8832311682403088,0.19303863579407335,0.054474570765160026,0.20606038313708266,1.121937245130539
3,0.5309675954594492,0.9171586565673351,0.25032794061116875,0.15659980499185622,0.18088691600132734,0.6759572990238667,0.42597003374248743,0.06817844796460122,0.2047905674495269,1.1930184213467587
4,0.45004748713766674,0.8463618434965611,0.45547653883695605,0.3207977689802647,0.465095223672688,0.5948053006082773,0.899253799021244,0.09234166387468576,0.3646928200963885,1.127951646292651
5,0.4077477681778653,0.7895208574831486,0.6655315145850181,0.5393083252012729,0.7657313667237758,0.6910104680806398,0.9695041470229626,0.2144192117266357,0.5527534388704225,1.1113462153776192
6,0.37779191498675,0.7185153357684613,0.7716804958879948,0.6652148827910424,0.8697819337248802,0.7674050141125918,0.9872623510658741,0.3371860439889133,0.6630568829132245,1.176513303209234
7,0.3492229002100535,0.6442825406789779,0.8211557067930698,0.7261068996042013,0.9024725548923016,0.8090503796935081,0.9915947556495667,0.4050760079175234,0.7171357820741832,1.1231784452626734
8,0.3381638781770301,0.5774488624185323,0.8480883821845054,0.7608255028724671,0.9163214147090912,0.8345095440745354,0.9927452713251114,0.4487958040088415,0.7482652376405894,1.2040880072264024
9,0.3272876777583555,0.5225891657173634,0.8638527326285839,0.7820320405066014,0.9204000070691108,0.8531142175197601,0.9925578407943249,0.4801255455240607,0.767920935852453,1.1763019214073818
10,0.3131372386226368,0.47791244871914385,0.874690767377615,0.7966377295553684,0.9216922052204609,0.866981939971447,0.9920393727719784,0.4997264642268419,0.7809496915899217,1.1091935873767476
11,0.31253693870664323,0.44222201108932496,0.8817308515310287,0.8062483578920364,0.9229395434260368,0.8754819601774215,0.9916508428752422,0.5135268097743392,0.7896798410918563,1.1612613863415189
12,0.31091985562830715,0.413165033608675,0.8867772124707699,0.813066628575325,0.9229667834937573,0.8822889596223831,0.9911159977316857,0.5230847775936127,0.7958541037514806,1.130348688290443
