epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1,val_composite,gradient_norm
1,0.09642526627642901,0.05393039645708125,0.9536762122592267,0.9170687024542852,0.9616047022999197,0.952994724048287,0.9890275790938565,0.755713487385306,0.9041855310407465,1.289753363569184
2,0.0810900375731768,0.05403218604831924,0.9531348797522793,0.9159433413110051,0.9654328060920954,0.9480562916434595,0.9897592178688135,0.7537565769216538,0.9032903040446228,0.9608161603607753
3,0.07694963354677567,0.05481137327409641,0.9520045839823209,0.9140190804416652,0.9669299036629888,0.944666607456994,0.9898066036943076,0.74964971959159,0.9014158678846382,inf
4,0.07039256327833025,0.05603522801130113,0.9506312616028249,0.91169192619547,0.9683075743907006,0.9409743320184408,0.9898692036552174,0.7439326464697935,0.898956607819567,0.6421087660854405
5,0.06959896867688,0.05709086840093933,0.9494150268327166,0.9096619502756508,0.9687788762908051,0.9384667583000965,0.989939332473504,0.737741626225985,0.8964966766810337,0.9065274299297592
6,0.06747670691356934,0.05824000553675453,0.9483043898972646,0.9077579590389162,0.9689460823368468,0.9363898228243442,0.9898076406290699,0.7309013186822102,0.893953622093501,0.9292915965070819
7,0.06286190277821559,0.059346198857063166,0.9473482557097938,0.9061519724868213,0.968606436132986,0.9350982433976138,0.9895195553002416,0.7252186591941511,0.8918158565808831,0.6687132190949846
8,0.06238065835689046,0.06029411069965748,0.9466511889577842,0.904999929261181,0.9673177825168623,0.9352067552814249,0.9889378634052001,0.7207553366421324,0.8901772258788713,0.670624739241482
9,0.061751708161383805,0.061417299236608054,0.9457977612813314,0.903644810219938,0.966096786485202,0.9350118668315934,0.9883763701089117,0.7157163634613871,0.8882774118263453,0.671519768931488
10,0.057597640582228715,0.06288494781664715,0.9447488675149388,0.9018301971115529,0.9655018666781975,0.9337410094878879,0.9879785178098391,0.707989524157018,0.8855590316754587,0.7086818490435581
11,0.0574279940423509,0.0641721457039466,0.9438656469518392,0.9003029611862888,0.9644912925186497,0.9331773655736194,0.9874594781045265,0.7014710334116134,0.8832669935667827,0.6466264833170589
12,0.05672198327522998,0.06544410283890124,0.9429192196831124,0.8987194723641726,0.9638021427519212,0.9322503231706694,0.9870618426945962,0.6950339152080026,0.880947893564335,0.6779122700785646
13,0.05740632957570838,0.06641974590236992,0.9422497880897395,0.8976346459675792,0.9633024769483203,0.931638518902769,0.9868979836786073,0.690330961658936,0.8792700814820386,0.6300631313040705
14,0.0576544645671967,0.06748918658423517,0.9415572378680592,0.8964991516359939,0.9625368374114318,0.9312306623926663,0.9865752402755329,0.6855463504359343,0.877554516010028,0.73987644925566
15,0.055348309424659105,0.06845301174981272,0.9409909418461182,0.8955633168502263,0.9618432888617883,0.9309664003160619,0.9862515905097443,0.6814249172648924,0.8760994357008117,0.6486922391127832
16,0.055318021572511866,0.06924991544498049,0.9405434154214933,0.8948282417379229,0.961275613361112,0.9307758319072235,0.9859931752035849,0.6777929948142407,0.8748558102696802,inf
