epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1
1,0.4252423813343048,0.30473431666692097,0.8318571225802104,0.7396952247619629,0.8352539873123169,0.8892702007293701,0.9747087009747823,0.3771579150358836
2,0.22673592686653138,0.2231093903382619,0.8349038934707642,0.7455960289637248,0.940347113609314,0.7932905101776123,0.991954911549886,0.4408963990211487
3,0.15796409744024276,0.1702072940270106,0.858112682501475,0.7745196827252706,0.9053390002250672,0.8599877087275187,0.9781480288505554,0.46615466912587483
4,0.12556671744585038,0.15849683086077374,0.8509322230021159,0.7641399192810059,0.9260284296671549,0.8317241795857747,0.9808624029159546,0.45007845044136047
5,0.10540719707310199,0.14791373491287232,0.8668685213724772,0.7862957866986593,0.9309293532371521,0.849129544099172,0.9870965147018432,0.5049265615145365
6,0.09580420130491257,0.1532841016848882,0.8594732157389323,0.7756640148162842,0.9009193356831868,0.8691706482569377,0.979713507493337,0.45758570114771524
7,0.0879377532750368,0.16679178297519684,0.8553652612368265,0.7721903483072917,0.9316447591781616,0.8365945410728455,0.9852408703168233,0.48467648585637413
8,0.08589738310873508,0.1541745012998581,0.8616171344121297,0.7813963683446249,0.9132352288564046,0.8634850033124288,0.9788216344515482,0.4942650866508484
9,0.0792326248139143,0.15474314749240875,0.8618387190500895,0.781130944887797,0.9052965871493022,0.87093452612559,0.9816523599624634,0.48891409397125246
10,0.07642256766557694,0.16112095872561136,0.8581763180096944,0.7779353952407837,0.9130568742752075,0.860324699083964,0.981079572836558,0.49534807205200193
11,0.0722614835202694,0.16401379744211833,0.8619875097274781,0.7806376266479492,0.9304147052764893,0.8451098227500915,0.9847221597035726,0.5086658414204915
12,0.0699398650676012,0.17192191819349925,0.8569815270105998,0.7748861511548361,0.9186480808258056,0.8522207045555115,0.9845550235112508,0.48796522776285806
13,0.0672427192479372,0.17820229490598044,0.8568972659111023,0.7754350868860881,0.9109406638145446,0.8600113876660664,0.9817269968986512,0.49628629247347517
14,0.06793246427178383,0.16891955256462096,0.8551622358957927,0.7738302532831828,0.9221075344085693,0.8483710050582886,0.9832758688926697,0.502470269203186
15,0.06412603841722012,0.19813397884368897,0.84934898853302,0.7677623407046,0.9310744134585063,0.833212202390035,0.9868242470423381,0.49807277202606204
