epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1,val_composite,gradient_norm
1,0.9182381899863327,1.4363683876783953,0.2612631451916991,0.16933854137148177,0.17239870834424628,0.9422054772051225,0.09855070191880931,0.04720026406210772,0.20774742490930123,1.674508945912308
2,0.6591828697085999,1.052633341795169,0.26384512540994226,0.17037889120741662,0.17847968693475547,0.8702322522305553,0.20615672926354853,0.054197800606026414,0.21143329420896328,1.1432987718108278
3,0.5376977109538459,0.912154854084394,0.24764049657105658,0.15480994012044824,0.18424704669749145,0.6270332991706659,0.45434191971091753,0.06917223665192261,0.2030234315912731,1.1990935080540106
4,0.44602592216872183,0.8467526306276736,0.43653997788147897,0.30201421196786515,0.4804556973232246,0.5218647211234763,0.9213087536533426,0.09102407241274851,0.35016100151429636,1.1061621471221403
5,0.40065806171437,0.794144976953542,0.6527049408195922,0.5269007168201186,0.8132485543718989,0.6253150360924857,0.9826922524049415,0.21183870848476516,0.5424883827358854,1.1449838680510196
6,0.37662776628306494,0.72357015580124,0.7579040934580453,0.654407096575506,0.9138850380915292,0.714471633760085,0.9937391947515263,0.35063250742343643,0.6560861969493932,1.1565421952964356
7,0.3460473431361154,0.6480163457971182,0.8084033287089804,0.7156408521699609,0.9385102757756014,0.7691231714272351,0.9953889861610365,0.41587574983605685,0.7102714339907495,1.1146828458175897
8,0.33087901514737716,0.5806426237458768,0.8384531147731757,0.7517036125526665,0.9425498598851032,0.8039508672974864,0.9954351157135104,0.458303454684915,0.7434156997511105,1.1513720132549357
9,0.32332298530198134,0.526134365093634,0.8564548373962781,0.7734128599581511,0.9427165592679326,0.82626994352163,0.9951066123032422,0.4819373499532664,0.7628254655355253,1.1955025942059037
10,0.3147563793961866,0.48004284963844723,0.8700636262479036,0.7905412668026752,0.9416845152096719,0.8448253714519999,0.9945577353424166,0.49962175262640723,0.7774531578425296,1.1018469407691718
11,0.3019894038457327,0.4384852749590548,0.8811367720550631,0.8048709186707964,0.9384766820795047,0.8625067413223456,0.9937969112988585,0.5146986938411404,0.7895272525015824,1.1459010193436783
12,0.2943052567348579,0.4047294821798431,0.888194759810193,0.8145576726575816,0.936283482527881,0.8744338243644431,0.9931071785666188,0.5255302479548484,0.7975286318463569,1.0971874198558167
13,0.2877931852414818,0.3771669727674923,0.893199454553379,0.8212874165232877,0.9344301275585009,0.8828799017467854,0.992473510481556,0.5348871222564152,0.803621371479138,1.090172769120021
14,0.2888426020973087,0.3553519136972309,0.8974327122943001,0.826973695562493,0.9320010050483372,0.8908934274815624,0.9916842583543766,0.541877889299985,0.8085440065457213,nan
15,0.2796356421060513,0.3385639068502817,0.9007444204010578,0.831354444441588,0.9303120892980824,0.8970150851314853,0.9909259473314936,0.5470992559972017,0.8123331293000937,1.0021222539199806
16,0.280109241929079,0.32588320915003,0.902970105964945,0.834216216706341,0.9296270516348182,0.9006526218438,0.9903863187162032,0.551670143322915,0.8151451153044375,1.0740829121252025
17,0.27814005739948294,0.3166872929342045,0.9046050262006914,0.8363468735854819,0.9278214925564594,0.9046056714857588,0.9896832260285845,0.554733314314244,0.8171370982290795,1.0777142101563282
18,0.2749231464504578,0.30989568074297463,0.9058055570406943,0.8380027135706837,0.9269993042353517,0.9071303854077499,0.9891883386588245,0.5572434830369416,0.8186650385397561,1.1142170792040618
19,0.26924152093230136,0.30466886975380203,0.9068664093935712,0.8395117328774114,0.9266405046356391,0.9090547976286515,0.988761361711514,0.5597543851559207,0.8200884033341586,1.131051909664403
20,0.2655718505536954,0.3011802806987526,0.9074071431011888,0.8403337412739392,0.9267570953931867,0.9098186026448789,0.9885025849993925,0.5611206866939615,0.820835528999382,nan
21,0.26852678370908134,0.2983692232866465,0.9080577326117095,0.8412653763101708,0.9260744063750558,0.9114687642695741,0.9880945545546016,0.5625397629619385,0.8216782401992668,1.1556000374488948
22,0.2656988927583003,0.2960639379409529,0.9087341276014814,0.8421904211458953,0.9259584975538787,0.9125188344754047,0.9878687573515851,0.5640853593438309,0.8225719355370689,1.1069598708833968
23,0.2581532239450692,0.29434495405380773,0.9093482275927289,0.8430254207634778,0.9255673307809771,0.9137774631843804,0.9876074043119917,0.5647408673481912,0.8231963875315944,1.0488855248282414
24,0.26242185485177705,0.29297768440305816,0.909872889888953,0.8437715772516239,0.924870322950138,0.9152388158051864,0.9872244977802964,0.5657020418540292,0.8238301778802221,1.1490851951682048
25,0.2616371325260617,0.29241980852917854,0.9099195403341921,0.8438770415620034,0.9246304294337397,0.9156171979371065,0.9870852269000888,0.5661023992188969,0.8239652550553683,1.1018795117458202
26,0.25985654834947436,0.29183930825002447,0.9101040329992401,0.8441589600551203,0.9240288860309198,0.9165223477790074,0.9867725475974705,0.5665386052605528,0.8242126760645683,1.1045836413869206
27,0.25617793026365765,0.29145161178171264,0.9102762656182236,0.844397054695935,0.9235205953906042,0.9172693291065855,0.9865755983020948,0.5666178118738329,0.824361652182126,1.1070343241188096
28,0.2507994326902795,0.2912442650854217,0.9104031294769381,0.8445571601761054,0.9227638281650424,0.9181890472862291,0.9862985148192933,0.56658174365944,0.8244477830225636,1.0176833212745855
29,0.2473557952463318,0.29113650442280387,0.9105038206029382,0.8446883303778512,0.9223531236559708,0.9187265952921803,0.9861344110151256,0.5665720741941321,0.8245208840007366,1.0096883246247073
30,0.25233088038437107,0.2911119548060139,0.9105768088968644,0.8447764123448674,0.9223949824060712,0.9187533529648869,0.9861239842746569,0.5665862073439248,0.8245791585086295,1.1138405847993698
31,0.24846242606022198,0.29092091719926516,0.9107141939009199,0.8449689438624411,0.9226931215073011,0.9186276090071068,0.9861585760708922,0.5669802051523457,0.8247806967137764,1.0652634592159935
32,0.25012181297793906,0.29096532256706903,0.9107203402134202,0.8449843933123239,0.9230865217884134,0.9182216365885291,0.9861956434960691,0.5671461857623935,0.8248268016006636,1.0545714756716853
33,0.2556389911650376,0.29093430057075453,0.9107624085053153,0.8450400962592652,0.9231565772376445,0.9181804586641537,0.9861286315858734,0.5673390589885831,0.8249065711261322,1.0875933155509996
34,0.25148512704075926,0.2908894743608392,0.9108432327738459,0.8451602532996895,0.9233700544197366,0.9180710256469916,0.9860929606123741,0.5675366500519817,0.8250165870933799,1.0538214807925017
