epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_boundary_f1
1,0.5114030728340149,0.40020366112391154,0.8197756743431092,0.729973332087199,0.8521464363733927,0.8449498907725016,0.9813338033358256,0.3207146354516347
2,0.3174239627420902,0.28505872348944344,0.8492058849334717,0.7618312223752339,0.8570473965009053,0.8940974378585815,0.9715168484052022,0.36549240032831826
3,0.22593836273252965,0.23085535446802774,0.8576038241386413,0.7718609269460043,0.8798988389968873,0.8809504810969034,0.9714610362052918,0.3936277500788371
4,0.17204868392646314,0.19290215273698172,0.8546060387293498,0.7717887266476949,0.9130349826812744,0.848922377427419,0.9811577113469442,0.41688536008199056
5,0.13903879204392433,0.17979295988877614,0.8556748151779174,0.7719729487101237,0.9236203845342,0.8398781967163086,0.9860986105600993,0.4335855992635091
6,0.1185874112918973,0.16278263966242473,0.8583326808611552,0.773287270863851,0.89307142496109,0.8719399293263753,0.9840076231956482,0.40406442860762276
7,0.10834584169834852,0.1624856099486351,0.8524277019500732,0.7692637880643208,0.9256460960706075,0.8355114483833312,0.9842604931195577,0.42555811564127605
8,0.09809131963551045,0.16472429315249126,0.8540109729766846,0.7677079319953919,0.9387007602055868,0.8218661586443583,0.9896606429417928,0.4224196259180705
9,0.09397490425407887,0.15280584012468656,0.8646026976903279,0.7827993869781494,0.9329840548833211,0.8424879471460979,0.989738343556722,0.45907517194747927
10,0.08776546693593264,0.1532271084189415,0.8614928865432739,0.7796428036689759,0.9302987782160441,0.842127194404602,0.9856648778915406,0.44764673431714375
11,0.08316443615406752,0.15872540493806203,0.8623738670349121,0.7805756521224976,0.9198272784550985,0.8543799352645874,0.9862924575805664,0.4508204030990601
12,0.0802676236256957,0.15238708943128587,0.864822940826416,0.7841755509376526,0.9182215269406636,0.8593617526690165,0.9846930344899495,0.44595657229423524
13,0.0796355014592409,0.16736805126070975,0.8594494326909383,0.777278078397115,0.9277176268895467,0.8426577186584473,0.9866928227742513,0.4459207038084666
14,0.07583603562414647,0.161129313458999,0.8629846103986104,0.781491937637329,0.9236476723353068,0.8516068474451701,0.9868478234608968,0.45148852189381916
15,0.07415153375267983,0.16257987370093663,0.8572104779879252,0.7768343432744345,0.9150746337572734,0.85530526638031,0.9817983071009319,0.4346033271153768
16,0.07263894058763981,0.15985057125488916,0.8611974096298218,0.7808959913253785,0.9331030114491781,0.8413432168960572,0.9857870070139567,0.449390842517217
17,0.07049895291775465,0.1539066935578982,0.86423446337382,0.7840362246831258,0.9205084268252055,0.8567942269643147,0.9820135649045308,0.4502106420199076
18,0.07014678861573338,0.16265681197245915,0.8613835040728252,0.7802673284212748,0.9259586366017659,0.8479538647333781,0.9853423555692037,0.4501433706283569
